Education,Marital_Status,Income,Kids,Days_is_client,Recency,Expenses,TotalNumPurchases,TotalAcceptedCmp,Complain,Response,Target
Graduate,Single,58138,0,663,58,1617,25,0,0,1,High-Value Frequent Shoppers
Graduate,Single,46344,2,113,38,27,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,71613,0,312,26,776,21,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,26646,1,139,26,53,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,58293,1,161,94,422,19,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,62513,1,293,16,716,22,0,0,0,High-Value Frequent Shoppers
Graduate,Single,55635,1,593,34,590,21,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,33454,1,417,32,169,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,30351,1,388,19,46,6,0,0,1,Family-Oriented Budget Shoppers
Postgraduate,Partner,5648,2,108,68,49,2,1,0,0,Family-Oriented Budget Shoppers
Undergraduate,Partner,7500,0,593,59,61,6,0,0,0,Price-Conscious Minimal Shoppers
Graduate,Single,63033,0,226,82,1102,16,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,59354,2,226,53,310,15,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,17323,0,627,38,46,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,82800,0,582,23,1315,26,2,0,1,High-Value Frequent Shoppers
Graduate,Partner,41850,2,552,51,96,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,37760,0,667,20,317,13,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,76995,1,458,91,1782,26,1,0,0,High-Value Frequent Shoppers
Graduate,Single,33812,1,603,86,133,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,37040,0,690,41,316,12,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,58607,1,553,63,972,17,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,65324,1,169,0,544,20,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,40689,1,468,69,444,20,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,18589,0,543,89,75,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,53359,2,398,4,257,14,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,38360,1,394,26,131,9,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,84618,0,219,96,1672,26,1,0,0,High-Value Frequent Shoppers
Postgraduate,Single,10979,0,38,34,30,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,38620,0,414,56,318,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,40548,1,627,31,120,9,1,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,46610,2,608,8,302,17,0,0,1,Family-Oriented Budget Shoppers
Postgraduate,Partner,68657,0,494,4,1196,18,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,49389,2,304,55,65,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,67353,1,180,37,913,28,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,23718,1,300,76,81,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,42429,1,138,99,67,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,48948,0,513,53,902,24,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,80011,1,426,3,1395,21,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,20559,1,474,88,53,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,21994,1,552,4,22,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,7500,1,270,19,31,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,79941,0,1,72,984,16,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,7500,0,597,24,122,10,0,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,41728,1,401,92,55,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,72550,2,598,39,1319,28,0,0,0,High-Value Frequent Shoppers
Graduate,Single,65486,1,48,29,507,17,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,79143,0,687,2,1693,29,0,0,0,High-Value Frequent Shoppers
Graduate,Single,35790,1,543,54,72,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,82582,0,22,54,1617,21,2,0,1,High-Value Frequent Shoppers
