Education,Marital_Status,Income,Kids,Days_is_client,Recency,Expenses,TotalNumPurchases,TotalAcceptedCmp,Complain,Response
Graduate,Partner,75236,1,216,27,1068,25,0,0,0
Graduate,Partner,44010,1,624,46,662,24,0,0,0
Graduate,Single,75127,0,38,92,833,19,0,0,0
Graduate,Single,34738,1,49,51,20,5,0,0,0
Graduate,Partner,76068,1,577,67,1376,10,2,0,0
Postgraduate,Partner,55951,1,675,62,1374,23,2,0,0
Graduate,Partner,58692,1,84,21,395,15,0,0,0
Graduate,Single,50785,2,292,27,114,8,0,0,0
Graduate,Partner,33178,1,150,9,49,5,0,0,0
Graduate,Partner,42554,2,533,93,41,7,0,0,0
Graduate,Partner,33183,1,125,46,120,9,0,0,0
Graduate,Single,82025,0,397,76,1187,12,1,0,1
